modelo | dimensoes | preço venda
Cabeceira Relax Lisboa (+84cm) | p/ box 1,58 | 1209,84
Cabeceira Relax Diamante (+12cm) | p/ box 1,93 | 564,78
Cabeceira Relax Gran Jaguar (+63cm) | p/ box 1,93 | 898,76
Cabeceira Relax Roma (+25cm) | p/ box 1,93 | 1294,47
Cabeceira Relax Lisboa (+84cm) | p/ box 1,93 | 1361,07
Cabeceira Relax Diamante (+12cm) | p/ box acima 2,05 | 594,06
Cabeceira Relax Gran Jaguar (+63cm) | p/ box acima 2,05 | 945,37
Cabeceira Relax Roma (+25cm) | p/ box acima 2,05 | 1361,59
Cabeceira Relax Lisboa (+84cm) | p/ box acima 2,05 | 1431,65
Cama Cabeceira+Cama+Base Gran Jaguar | 0,88 X 1,88 | 2014,43
Cama Cabeceira+Cama+Base Roma | 0,88 X 1,88 | 1865,73
Cama Cabeceira+Cama+Base Lisboa | 0,88 X 1,88 | 1732,39
Cama Cama+Base Gran Jaguar | 0,88 X 1,88 | 1705,57
Cama Cama+Base Roma | 0,88 X 1,88 | 1556,03
Cama Cama+Base Lisboa | 0,88 X 1,88 | 1434,80
Cama Cabeceira+Cama+Base Gran Jaguar | 1,19 X 1,88 | 2071,98
Cama Cabeceira+Cama+Base Roma | 1,19 X 1,88 | 1919,04
Cama Cabeceira+Cama+Base Lisboa | 1,19 X 1,88 | 1781,88
Cama Cama+Base Gran Jaguar | 1,19 X 1,88 | 1754,30
Cama Cama+Base Roma | 1,19 X 1,88 | 1600,49
Cama Cama+Base Lisboa | 1,19 X 1,88 | 1475,79
Cama Cabeceira+Cama+Base Gran Jaguar | 1,38 X 1,88 | 2877,76
Cama Cabeceira+Cama+Base Roma | 1,38 X 1,88 | 2665,34
Cama Cabeceira+Cama+Base Lisboa | 1,38 X 1,88 | 2474,84
Cama Cama+Base Gran Jaguar | 1,38 X 1,88 | 2436,53
Cama Cama+Base Roma | 1,38 X 1,88 | 2222,90
Cama Cama+Base Lisboa | 1,38 X 1,88 | 2049,71
Cama Cabeceira+Cama+Base Gran Jaguar | 1,58 X 1,98 | 3453,32
Cama Cabeceira+Cama+Base Roma | 1,58 X 1,98 | 3198,41
Cama Cabeceira+Cama+Base Lisboa | 1,58 X 1,98 | 2969,81
Cama Cama+Base Gran Jaguar | 1,58 X 1,98 | 2923,84
Cama Cama+Base Roma | 1,58 X 1,98 | 2667,49
Cama Cama+Base Lisboa | 1,58 X 1,98 | 2459,66
Cama Cabeceira+Cama+Base Gran Jaguar | 1,93 X 2,03 | 3884,99
Cama Cabeceira+Cama+Base Roma | 1,93 X 2,03 | 3598,22
Cama Cabeceira+Cama+Base Lisboa | 1,93 X 2,03 | 3341,04
Cama Cama+Base Gran Jaguar | 1,93 X 2,03 | 3289,33
Cama Cama+Base Roma | 1,93 X 2,03 | 3000,93
Cama Cama+Base Lisboa | 1,93 X 2,03 | 2767,12
Cama Cabeceira+Cama+Base Gran Jaguar | ac. 1,93 x ac. 2,03 | 4086,42
Cama Cabeceira+Cama+Base Roma | ac. 1,93 x ac. 2,03 | 3784,78
Cama Cabeceira+Cama+Base Lisboa | ac. 1,93 x ac. 2,03 | 3514,28
Cama Cama+Base Gran Jaguar | ac. 1,93 x ac. 2,03 | 3459,87
Cama Cama+Base Roma | ac. 1,93 x ac. 2,03 | 3156,53
Cama Cama+Base Lisboa | ac. 1,93 x ac. 2,03 | 2910,59
Colchão Baby (12cm) | até 0,87 x 1,50 | 501,50
Eletrônicos Vibro + Quântica (Colchonete/Baby) | até 0,87 x 1,50 | 752,81
Colchonete (12cm) | 0,78 ou 0,88 x 1,88 | 1199,92
Manta Perfilada (3cm) | 0,78 ou 0,88 x 1,88 | 727,22
